m/z,20201003-ZJ-POS-MSE-AF1,20201003-ZJ-POS-MSE-AF2,20201003-ZJ-POS-MSE-AF3,20201003-ZJ-POS-MSE-AF4,20201003-ZJ-POS-MSE-AF5,20201003-ZJ-POS-MSE-AF6,20201003-ZJ-POS-MSE-AF7,20201003-ZJ-POS-MSE-AF8,20201003-ZJ-POS-MSE-AF9,20201003-ZJ-POS-MSE-AF10,20201003-ZJ-POS-MSE-AF11,20201003-ZJ-POS-MSE-AF12,20201003-ZJ-POS-MSE-AF13,20201003-ZJ-POS-MSE-AF14,20201003-ZJ-POS-MSE-AF15,20201003-ZJ-POS-MSE-F1,20201003-ZJ-POS-MSE-F2,20201003-ZJ-POS-MSE-F3,20201003-ZJ-POS-MSE-F4,20201003-ZJ-POS-MSE-F5,20201003-ZJ-POS-MSE-F6,20201003-ZJ-POS-MSE-F7,20201003-ZJ-POS-MSE-F8,20201003-ZJ-POS-MSE-F9,20201003-ZJ-POS-MSE-F10,20201003-ZJ-POS-MSE-F11,20201003-ZJ-POS-MSE-F12,20201003-ZJ-POS-MSE-F13,20201003-ZJ-POS-MSE-F14,20201003-ZJ-POS-MSE-F15,20201003-ZJ-POS-MSE-T1,20201003-ZJ-POS-MSE-T2,20201003-ZJ-POS-MSE-T3,20201003-ZJ-POS-MSE-T4,20201003-ZJ-POS-MSE-T5,20201003-ZJ-POS-MSE-T6,20201003-ZJ-POS-MSE-T7,20201003-ZJ-POS-MSE-T8,20201003-ZJ-POS-MSE-T9,20201003-ZJ-POS-MSE-T10,20201003-ZJ-POS-MSE-T11,20201003-ZJ-POS-MSE-T12,20201003-ZJ-POS-MSE-T13,20201003-ZJ-POS-MSE-T14,20201003-ZJ-POS-MSE-T15
2098.483287,23896.85995,34816.30021,42980.68456,41374.67212,62401.61673,48003.74732,45849.77148,47558.99008,66746.28175,30576.26758,40324.93477,39508.15873,37637.97717,70708.83535,46253.27697,75345.47673,68183.71008,48849.40139,15535.11149,21159.19052,2861.148715,11182.5546,25447.16408,24912.9811,60914.62668,45859.32139,32315.9,119022.5858,36598.13941,59220.82693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1602.436398,52811.33398,54423.1958,58855.6078,54097.94434,57004.2054,56025.33156,28582.35552,64208.37115,9563.903417,61623.93081,20987.62574,63600.08112,46342.20592,44963.02469,48262.71976,42173.14175,53904.22808,44399.09962,nan,14198.87194,2189.216469,18362.90995,3094.527937,42164.9477,54602.94654,59550.19015,59735.32873,16714.54341,42431.10405,18720.46461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2184.395159,45736.23145,50010.50975,57654.77098,55090.74649,56141.33684,60711.6648,27702.65554,60955.28592,32939.44588,53254.11568,19074.60727,49140.56795,40273.91514,45047.50991,45284.34566,47118.05218,40689.92282,30296.0918,12576.66873,57343.89242,9814.452706,12278.01458,14178.32033,33476.67705,36922.20875,46199.10896,61519.99523,30056.83857,32133.63303,1938.758748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2184.396967,43175.51007,51112.54635,53305.60193,44015.79087,47851.60352,29474.53289,38356.95391,49257.44021,4791.578437,38943.81035,26937.36326,40330.52218,43640.77813,49388.49581,42713.06866,46739.60989,37617.43735,28761.75119,31870.79862,62417.77051,2886.214124,12366.56532,14930.86542,39543.97744,39146.67115,62922.81083,57495.9099,23908.3957,33124.42283,10495.85072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1800.188548,51467.50078,44520.13636,53003.69678,53063.57955,56519.15935,46299.57738,10127.46405,59403.09937,14378.85705,45747.79778,2331.678021,41701.41735,36944.64678,48485.56893,46998.76916,46210.77634,42476.98827,39711.00805,0.036090884,1368.219496,437.1647598,0.30917762,2100.864257,40033.15581,48293.84565,62396.05992,50704.86124,51839.71303,32901.36079,38517.57264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2082.4921,7086.635962,6391.210228,9610.156685,7000.45538,9749.33723,7496.404345,48948.19309,8642.684545,44815.26245,8259.234686,49747.55919,7844.941047,5777.418225,8167.278356,6606.853414,17282.49464,19772.83363,15141.16928,14189.90386,13671.35097,1227.490393,129464.6437,1533.413729,7067.27491,71884.76356,15109.59889,6762.852489,46584.83026,10318.49951,64062.75296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2163.067041,20423.76097,20042.10208,26191.31791,21763.15802,21832.20719,19757.54053,100541.7935,23655.95305,31584.49559,20044.3494,54469.30524,18323.85905,15966.47788,17400.44881,18874.0589,19853.25968,19361.04437,14263.62659,27176.1068,105557.4755,6969.204683,70122.86239,21957.29745,15091.28292,29332.36084,26504.10031,24322.2237,13630.28539,16515.48077,6707.106477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1629.290255,6514.587061,7664.032521,9884.092561,7449.946795,6517.099112,7115.795764,92250.85998,8287.820433,42177.26111,8005.176373,49268.89035,6718.394847,4923.656289,5635.389545,5617.144556,6359.717092,6388.588504,5770.755342,79362.06059,94622.04777,10885.28666,84794.92367,12373.47247,3925.598982,27088.18496,9492.920534,7075.268856,9156.058606,7580.211094,6086.369537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2248.591814,6122.703541,7824.075582,9580.590522,7250.832056,9327.316558,7424.90764,223857.266,9740.892475,53102.55199,8235.681305,116355.0725,7677.960946,6351.906483,8074.473524,7753.595447,15374.71411,15818.87265,10239.7219,19236.66331,41765.64787,4062.867985,36507.0021,24884.30491,5772.682641,26523.72127,13857.60833,7503.513746,31118.16776,11922.88968,50878.71064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1900.391875,10317.31109,10229.81957,20551.62567,16522.27773,27491.95281,23378.49269,37500.16361,18862.19928,30597.90876,13757.57305,38212.15592,16090.7785,11848.62284,24588.17654,15691.61848,52014.97172,33903.05994,23299.04064,1336.247081,4130.289404,185.8929462,83314.27326,1976.835791,16009.77859,56173.20497,25748.0574,16384.16766,65953.74532,14276.09188,62158.43659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
